Guild,Player,UID,CP,Heal Up,Heal Down,Total Heal,Beast Up,Beast Down,Total Beast,FDU,FDD,Total Finals,Tribulation,Has Chaos
BananaLegion,🍌|天蓬大猫咪,81024128020,8950,952.2,621.8,1574,1273.1,1172.5,2445.6,1137,1138.9,2275.9,SM2,Kunpeng
Dominion,⚔︎xTEFLONx⚔︎,81004714623,12180,1035.5,926.8,1962.3,1133.6,1086,2219.6,1069.4,1111.2,2180.6,DG1,Luohou
UnderWorld,Brianhk***,81019294158,5580,770.2,432.1,1202.3,1088.6,864.9,1953.5,900.4,909.2,1809.6,SM1,Diting
HeavenFighters,HF-蓝暖,81019410196,5420,928.2,624,1552.2,734.1,703,1437.1,871.8,894.2,1766,SM1,Diting
StarWar,✰☬|ℤacky𝕸༻,81008055942,3440,858.5,377,1235.5,1038.5,680.3,1718.8,825.8,838,1663.8,CE2,Diting
HeavenFighters,HF-霁月,81020987481,3370,762.3,476.7,1239,1003.5,649.4,1652.9,770.9,743.3,1514.2,CE3,Diting
HeavenFighters,HF-夜色,81020568444,3060,885.5,763.2,1648.7,586.9,551,1137.9,720.9,710.7,1431.6,CE2,Luohou
BananaLegion,Chill,81024346619,439.92,768.4,817.3,1585.7,562.6,484.7,1047.3,726.5,703,1429.5,GI3,Luohou
𝔇own𝔉all,Axe,81013163628,3070,832.5,356.3,1188.8,952.9,671.1,1624,691.5,722.1,1413.6,CE2,Diting
Dominion,⚔︎V💀R⚔︎,81002643938,4760,749.3,583.9,1333.2,720,737.6,1457.6,686.7,692.2,1378.9,SM1,Luohou
