Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
1,NA,Divinity,☀️天蓬大猫咪,81024128020,15800,1366.1,1401,2767.1,DG1,Kunpeng,Y
2,NA,Dominion,⚔︎xTEFLONx⚔︎,81004714623,16200,1159,1223.2,2382.2,DG2,Luohou,Y
3,NA,HeavenFighters,HF-蓝暖,81019410196,9070,1054.1,1101,2155.1,SM3,Luohou,Y
4,NA,UnderWorld,(UW)Wrath,81019294158,8040,979.9,977.6,1957.5,SM2,Diting,Y
5,NA,Divinity,☀️Chill,81024346619,4240,968,961.6,1929.6,CE2,Luohou,Y
6,NA,DownFall,Axe,81013163628,6040,878.2,926.2,1804.4,SM1,Diting,Y
7,NA,HeavenFighters,HF-霁月,81020987481,6090,906,878.6,1784.6,SM1,Diting,Y
8,NA,StarWar,✰☬|ℤacky𝕸༻,81008055942,3700,866.5,860.3,1726.8,CE2,Diting,AFK
9,NA,Dominion,⚔︎V☠️R⚔︎,81002643938,6730,829.2,847.5,1676.7,SM2,Luohou,Y
10,NA,HeavenFighters,HF-粉坤,81022465167,4070,808.6,848.9,1657.5,CE3,Luohou,Y
11,NA,HeavenFighters,HF-夜色,81020568444,5290,780.1,847.6,1627.7,SM1,Luohou,Y
12,NA,DownFall,Silent❤️💀🤖,81016881101,3810,800.6,798.6,1599.2,CE2,Diting,Y
13,NA,UnderWorld,Overrated,81015555728,5330,773.3,806,1579.3,SM1,Diting,Y
14,NA,HeavenFighters,HF-星尘,81020048696,5010,692,882.7,1574.7,SM1,Luohou,Y
15,NA,DownFall,Mike,81013725490,4030,756.8,790.2,1547,CE3,Diting,Y
16,NA,HeavenFighters,HF-鸡你太美,81023687532,620.79,703,818.2,1521.2,GI3,Luohou,Y
17,NA,|MF|Misfits,༒MFaust🌸,81006071933,4970,733.6,768.4,1502,SM1,Luohou,Y
18,NA,StarWar,☆|icy|☆,81011159711,3960,716.3,752.6,1468.9,CE3,Anzu,Y
19,NA,StarWar,𝕎aifu.ℝo,81006960553,4530,703.4,731,1434.4,SM1,Diting,Y
20,NA,HeavenFighters,HF✫esposoby✫,81020909597,4940,650,757.2,1407.2,SM2,Luohou,Y
21,NA,Dominion,⚔︎ᕲᗩᐺᖻ⚔,81003919350,2280,712.5,693,1405.5,CE1,Luohou,Y
22,NA,StarWar,✰☬|Hades|꥟,81007624563,3150,694.7,708.3,1403,CE2,Luohou ,Y
