Guild,Player,UID,CP,Heal Up,Heal Down,Total Heal,Beast Up,Beast Down,Total Beast,FDU,FDD,Total Finals,Tribulation,Has Chaos,Has Divine
Divinity,☀️天蓬大猫咪,81024128020,15800,1092.2,682.9,1775.1,1471.6,1282.3,2753.9,1366.1,1401,2767.1,DG1,Kunpeng,Nuwa
Dominion,⚔︎xTEFLONx⚔︎,81004714623,16200,1100.9,985.8,2086.7,1237,1112.4,2349.4,1159.2,1223.2,2382.4,DG2,Luohou,Nuwa
HeavenFighters,HF-蓝暖,81019410196,9070,1039.6,733.6,1773.2,847.2,766.6,1613.8,1054.1,1101,2155.1,SM3,Luohou,Nuwa
UnderWorld,(UW)Wrath,81019294158,8040,760.2,584.5,1344.7,1068.7,983.2,2051.9,979.9,977.6,1957.5,SM2,Diting,Nuwa
Divinity,☀️Chill,81024346619,4240,894,964,1858,665.4,612.4,1277.8,968,961.6,1929.6,CE2,Luohou,Nuwa
DownFall,Axe,81013163628,6040,913.3,397.1,1310.4,1074.7,748.2,1822.9,878.2,926.2,1804.4,SM1,Diting,Gonggong
HeavenFighters,HF-霁月,81020987481,6090,797.8,521.7,1319.5,1082,738.4,1820.4,906,878.6,1784.6,SM1,Diting,Nuwa
StarWar,✰☬|ℤacky𝕸༻,81008055942,3700,858.5,377,1235.5,1038.5,680.3,1718.8,865.5,860.3,1725.8,CE2,Diting,Nuwa
Dominion,⚔︎V☠️R⚔︎,81002643938,7500,821.7,770.5,1592.2,858.4,826.8,1685.2,829.9,847.5,1677.4,SM2,Luohou,N
HeavenFighters,HF-粉坤,81022465167,4070,751.1,816.7,1567.8,650.8,580.9,1231.7,808.6,848.9,1657.5,CE3,Luohou ,Nuwa
HeavenFighters,HF-夜色,81020568444,5290,904.8,802.8,1707.6,669.2,582.9,1252.1,780.1,847.6,1627.7,SM1,Luohou,Nuwa
DownFall,Silent❤️💀 🤖 ,81016881101,3810,651.4,582.3,1233.7,1050,593.8,1643.8,800.6,798.6,1599.2,CE2,Diting,Nuwa
UnderWorld,Overrated ,81015555728,5330,736.3,627.3,1363.6,905.8,715.6,1621.4,773.3,806,1579.3,SM1,Diting,Nuwa
HeavenFighters,HF-星尘,81020048696,5010,804.8,960.6,1765.4,655.1,607.3,1262.4,692,882.7,1574.7,SM1,Luohou ,Nuwa
Downfall ,¿ǝʞᴉW,81013725490,4030,749.1,333.5,1082.6,1085.4,631.8,1717.2,756.8,790.2,1547,CE2,Diting ,Nuwa
HeavenFighters,HF-鸡你太美,81023687532,620.79,909.4,926.8,1836.2,619.7,586.5,1206.2,703,818.2,1521.2,GI3,Luohou ,Nuwa
|MF|Misfits,༒MFaust🌸,81006071933,4970,510.7,595.7,1106.4,636.4,879.1,1515.5,733.6,768.4,1502,SM1,Luohou ,N 
StarWar,☆|icy|☆,81011159711,3960,688.3,833.3,1521.6,629,574,1203,716.3,752.6,1468.9,CE3,Anzu,Nuwa
StarWar,𝕎aifu.ℝo,81006960553,4530,690.9,467.7,1158.6,839.6,720.9,1560.5,703.4,731,1434.4,SM1,Diting ,N
HeavenFighters,HF✫esposoby✫,81020909597,4940,904.5,843.2,1747.7,563.7,602.8,1166.5,650,757.2,1407.2,SM2,Luohou ,N
